module,telegram
AH2101,https://t.me/joinchat/JrvV3067hIHy4c65ZZXS6Q#
CS1010E,https://t.me/joinchat/JrvV31hVgdMSzjTG7EJlLg#
CS1010S,https://t.me/joinchat/JrvV31G2c6zeMfma41oWzw#
CS1101S,https://t.me/joinchat/JrvV30NrUojoE5K-3iKXpQ#
CS1231,https://t.me/joinchat/JrvV30P0DGpWo1EHMwyfLw#
CS2030,https://t.me/joinchat/JrvV3z3tIdPSuuz2cJoYaQ#
CS2040,https://t.me/joinchat/JrvV30SUs5qW_yR6yNHbWA#
CS2100,https://t.me/joinchat/JrvV30QpDNLsHQEaOmdbFg#
CS2101,https://t.me/joinchat/JrvV306Iiq-fFrvdUvMYmg#
CS2102,https://t.me/joinchat/JrvV31D0FBilBn0xkcnn3g#
CS2103T,https://t.me/joinchat/JrvV30Q_yKeV3Z4hB1EFpA#
CS2104,https://t.me/joinchat/JrvV30xGc3WbHMTvML3DPQ#
CS2105,https://t.me/joinchat/JrvV30QkXgyaCRUqfUU6tA#
CS2106,https://t.me/joinchat/JrvV30Zd9dv_1VOwIP2UfA#
CS2107,https://t.me/joinchat/JrvV30TxhJCAhABInSkRqA#
CS2309,https://t.me/joinchat/JrvV31KoXa5RuRe4wyIr1A#
CS3103,https://t.me/joinchat/JrvV30h2-uzvqXUTjBOw_A#
CS3203,https://t.me/joinchat/JrvV30KDPXKL_x8tNYdrpg#
CS3211,https://t.me/joinchat/JrvV3019WEGlpjhMiPCqgA#
CS3216,https://t.me/joinchat/JrvV30TZI-mktbAIM9F6Hw#
CS3219,https://t.me/joinchat/JrvV30i8YBsar3_r26T1zg#
CS3230,https://t.me/joinchat/JrvV30UUSO3fQSXMUwnO6A#
CS3234,https://t.me/joinchat/JrvV303jTl12WOj5u6gzfw#
CS3241,https://t.me/joinchat/JrvV31KtfOwYzUmKeXFY4A#
CS3243,https://t.me/joinchat/JrvV31W3edn5pQqvuFxR0A#
CS3244,https://t.me/joinchat/JrvV30j-4z1kp-MJznIn_Q#
CS3245,https://t.me/joinchat/JrvV31EYLSA8G6SBRUySvA#
CS3247,https://t.me/joinchat/JrvV31Q0Jt2J7fiaKHcRIA#
CS4211,https://t.me/joinchat/JrvV30wcVXEBtHGi93E-qA#
CS4212,https://t.me/joinchat/JrvV31bWgpX0sztsNckjsw#
CS4215,https://t.me/joinchat/JrvV300lvT8erxvHRye7wQ#
CS4218,https://t.me/joinchat/JrvV301G_JT_119sk07aAg#
CS4226,https://t.me/joinchat/JrvV31Sp3YJ0p3AOxok2VA#
CS4231,https://t.me/joinchat/JrvV30qtdWmFOvS45YnQxw#
CS4232,https://t.me/joinchat/JrvV30b-LFx7mcXjoXUKTw#
CS4234,https://t.me/joinchat/JrvV30n7z5vfEBwhVR8g3Q#
CS4236,https://t.me/joinchat/JrvV31g6EbAjtbxeihUUSQ#
CS4239,https://t.me/joinchat/JrvV31Y39L0nZB3OrwdsCw#
CS4243,https://t.me/joinchat/JrvV30O0sNMht49f2spDaA#
CS4246,https://t.me/joinchat/JrvV31eORSkFPtryoi8DPg#
CS4247,https://t.me/joinchat/JrvV30ijrA2y0RJaJ3J6MA#
CS4278,https://t.me/joinchat/JrvV31eAZt0h2R5bqYfLmg#
CS5230,https://t.me/joinchat/JrvV30qfj3F9DOGWAbvdiA#
CS5242,https://t.me/joinchat/JrvV30_iDUVDNmSCPQuS8g#
CS5260,https://t.me/joinchat/JrvV30pfItQvANgmA0KLJw#
ES2660,https://t.me/joinchat/JrvV30ygxmIjv5P_d5Kcyg#
GEH1016,https://t.me/joinchat/JrvV31OZDQNlRzTJSLWxeA#
GEH1036,https://t.me/joinchat/JrvV31IsxU7QN6NzClnZVA#
GEH1075,https://t.me/joinchat/JrvV30-kbZ8kG-hwWV_ydQ#
GEQ1000,https://t.me/joinchat/JrvV30mT_216mi-9jyhsyg#
IS1103,https://t.me/joinchat/JrvV30XQqmuqucSRJR6SyQ#
IS2103,https://t.me/joinchat/JrvV30_np4EOJC-GMozBXg#
IS3103,https://t.me/joinchat/JrvV31LZoUWPRV8qcq3_dw#
IS3221,https://t.me/joinchat/JrvV30iw7i0qlGOc0Nwcvw#
IS4103,https://t.me/joinchat/JrvV31IhNPXbOYtXcsP9Uw#
IS4250,https://t.me/joinchat/JrvV30bGldgI9zVXwTP2RQ#
IS4302,https://t.me/joinchat/JrvV30X_E804g0czIu41Og#
MA1101R,https://t.me/joinchat/JrvV30F2fz5dX2VHLw2lBA#
MA1521,https://t.me/joinchat/JrvV30qIP0szFLM_r8gIcQ#
MA2213,https://t.me/joinchat/JrvV30UYgQdoKDLjLOcQKQ#
ST2334,https://t.me/joinchat/JrvV30yjv8HfCdcN95ytSg#
YSC3236,https://t.me/joinchat/JrvV30uEFc02s8PKWRMgiQ#
